Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Travel_Rarely,Research,Bachelor,2,Female,3,4,Human Resources Manager,4,Married,Yes,0.21,1,31.24,3,3,15.84,6.78,15.87
Yes,Not_Travel,Finance,Doctor,3,Male,5,2,Finance Manager,1,Married,No,9.87,3,19.07,1,1,17.66,18.99,1.19
No,Travel_Frequently,Marketing,Master,1,Female,5,2,Human Resources Manager,2,Single,Yes,5.95,2,39.49,6,1,19.45,16.41,19.21
Yes,Travel_Rarely,Marketing,Bachelor,4,Male,4,3,Finance Manager,4,Married,Yes,6.81,1,31.8,7,2,6.81,11.67,2.7
Yes,Not_Travel,Human Resources,Bachelor,1,Male,3,3,Human Resources Manager,4,Married,Yes,6.33,1,1.2,9,1,15.32,0.41,14.45
Yes,Not_Travel,Research,Master,4,Female,2,4,Sales Representative,3,Divorced,No,5.21,2,9.93,2,4,28.98,7.22,16.44
Yes,Travel_Frequently,Marketing,Master,1,Female,1,2,Sales Representative,4,Divorced,No,2.36,3,28.22,2,3,23.09,11.99,13.61
No,Not_Travel,Human Resources,Doctor,1,Male,4,5,Sales Representative,3,Married,No,9.05,4,28.51,7,5,18.86,19.31,6.36
No,Travel_Frequently,Marketing,Doctor,4,Female,5,5,Human Resources Manager,4,Married,No,9.21,5,17.68,1,1,22.66,3.13,15.91
No,Not_Travel,Marketing,Bachelor,1,Male,3,3,Marketing Specialist,4,Married,Yes,4.53,5,15.68,7,5,1.55,11.51,13.47
Yes,Travel_Frequently,Marketing,Master,4,Female,1,2,Finance Manager,4,Divorced,No,6.15,2,37.21,4,5,8.97,3.42,13.22
No,Travel_Rarely,Sales,Doctor,4,Male,5,4,Sales Representative,4,Married,No,6.01,5,15.85,5,2,14.92,12.83,17.01
No,Travel_Rarely,Human Resources,Bachelor,3,Female,3,1,Sales Representative,4,Married,Yes,5.55,3,28.86,7,3,22.97,6.33,8.02
Yes,Travel_Frequently,Human Resources,Bachelor,4,Male,2,1,Human Resources Manager,4,Married,Yes,5.68,1,2.65,8,3,22.32,7.37,5.01
Yes,Travel_Frequently,Finance,Bachelor,4,Male,3,1,Research Scientist,3,Single,Yes,3.89,5,19.2,8,5,16.2,3.17,7.03
No,Travel_Rarely,Human Resources,Bachelor,3,Female,1,5,Research Scientist,4,Divorced,No,4.67,4,2.57,5,5,11.44,9.08,8.09
Yes,Travel_Frequently,Sales,Bachelor,4,Male,3,5,Finance Manager,4,Single,No,5.93,4,7.94,5,1,21.54,2.34,5.71
No,Not_Travel,Human Resources,Doctor,4,Male,2,1,Sales Representative,4,Single,Yes,1.95,3,4.44,7,3,4.48,14.45,1.04
Yes,Travel_Rarely,Finance,Bachelor,1,Female,5,1,Human Resources Manager,1,Single,Yes,0.14,4,28.41,9,4,26.67,12.36,16.64
Yes,Travel_Rarely,Human Resources,Doctor,1,Male,2,1,Human Resources Manager,2,Divorced,Yes,1.2,5,25.6,3,2,20.88,14.97,12.73
Yes,Travel_Rarely,Sales,Bachelor,4,Female,5,3,Finance Manager,1,Married,Yes,6.83,3,1.2,6,5,15.77,6.85,15.06
Yes,Travel_Rarely,Research,Doctor,2,Male,5,2,Marketing Specialist,1,Married,No,9.49,1,33,1,1,18.08,6.66,1.33
No,Travel_Frequently,Human Resources,Bachelor,2,Female,2,1,Finance Manager,1,Divorced,Yes,7.43,1,17.91,7,1,1.52,14.93,16.11
No,Travel_Rarely,Research,Doctor,3,Male,2,2,Marketing Specialist,2,Single,No,1.05,5,24.28,1,3,6.06,5,1.82
No,Travel_Frequently,Sales,Bachelor,4,Male,3,2,Research Scientist,2,Single,No,9.31,5,9.38,2,1,29.35,7.19,7.11
No,Travel_Frequently,Finance,Master,2,Female,1,5,Human Resources Manager,4,Single,No,4.93,4,31.89,3,2,12.1,1.44,1.29
No,Not_Travel,Marketing,Bachelor,4,Male,1,5,Research Scientist,4,Divorced,Yes,3.4,1,39.56,3,4,28.15,2.57,12.99
Yes,Travel_Rarely,Human Resources,Bachelor,2,Male,2,2,Sales Representative,2,Single,No,6.91,4,15.58,1,5,19.47,8.19,17.1
Yes,Travel_Frequently,Research,Doctor,2,Male,3,3,Sales Representative,1,Divorced,No,5.29,5,25.97,8,3,16.33,14.43,1.47
Yes,Travel_Frequently,Research,Bachelor,1,Female,4,3,Human Resources Manager,3,Married,No,7,1,0.19,1,2,6.16,12.74,19.29
Yes,Travel_Rarely,Finance,Doctor,1,Male,3,1,Finance Manager,2,Single,No,3.15,5,26.35,6,2,1.02,3.87,18.95
No,Travel_Frequently,Marketing,Doctor,3,Female,1,5,Research Scientist,4,Divorced,Yes,6.82,1,19.48,5,3,19.82,1.68,5.09
Yes,Not_Travel,Human Resources,Doctor,3,Male,3,3,Marketing Specialist,4,Single,No,7.41,1,20.29,3,4,14.35,14.28,13.13
No,Travel_Frequently,Marketing,Bachelor,4,Male,5,1,Human Resources Manager,4,Divorced,No,1.56,2,11.44,4,5,13.9,11.11,4.51
No,Travel_Frequently,Human Resources,Doctor,3,Female,3,1,Sales Representative,3,Single,No,3.72,4,25.06,8,2,26.87,11.63,9.66
No,Not_Travel,Sales,Master,1,Female,2,4,Finance Manager,4,Married,No,5.55,5,2.29,3,2,20.2,15.13,14.88
Yes,Travel_Frequently,Sales,Master,3,Male,2,1,Finance Manager,1,Married,Yes,6.96,5,21.27,9,1,16.55,14.04,18.84
No,Travel_Rarely,Human Resources,Doctor,3,Female,3,5,Marketing Specialist,4,Divorced,Yes,8.43,1,25.42,9,4,17.09,15.68,18.41
Yes,Travel_Frequently,Finance,Master,4,Male,1,2,Research Scientist,1,Married,No,0.2,2,1.16,4,3,20.88,6.86,1.33
No,Not_Travel,Sales,Doctor,2,Male,2,1,Human Resources Manager,1,Married,No,6.35,3,7.06,9,4,11.39,5.57,0.55
